CLASS_ID,Henicorhina leucophrys ffvgyk,Dysithamnus mentalis hwqenp,Chiroxiphia caudata bmiqmk,Turdus rufiventris xunfjj,Henicorhina negreti ejtezg,Myioborus ornatus ipvlig,Grallaricula nana qhsdfp,Phyllomyias griseiceps ygqyoz,Zimmerius chrysops skjryu,Epinecrophylla ornata eecwua,Herpetotheres cachinnans xywqxu,Crotophaga ani oxhigs,Cacicus leucoramphus pdhxvp,Spizaetus tyrannus tovyzm,Synallaxis ruficapilla lgrpvc,Pionus chalcopterus rnrluk,Pionus sordidus cttgtb,Dendroplex picus cqbqgt,Amazona farinosa ijpmji,Euphonia chlorotica rcvrfz,Myrmotherula schisticolor bbufdd,Elaenia albiceps gmtdpl,Rhodinocichla rosea swkumm,Geothlypis velata hctcgx,Turdus albicollis uiqpgc,Gnorimopsar chopi tpwgoq,Xiphocolaptes promeropirhynchus mvdpht,Mackenziaena severa ewytof,Synallaxis hypospodia cgcphw,Hemitriccus iohannis njliyd,Ochthoeca rufipectoralis lbqjjj,Conopophaga melanops ypmevr,Synallaxis cinnamomea bjsvvq,Diglossa albilatera qwshnx,Rhegmatorhina melanosticta uykwmf,Anurolimnas castaneiceps uzstxz,Grallaria quitensis smoutd,Amblycercus holosericeus aeuibp,Hirundinea ferruginea hdtboj,Pyrrhura frontalis gsmjhm,Brotogeris tirica pzlgrh,Formicivora grisea thrclx,Philydor atricapillus qldqit,Vanellus resplendens ijbmsf,Diopsittaca nobilis gcyzcu,Phaethornis ruber pndtuh,Strix virgata fkjcci,Chlorophonia cyanea mbwjzf,Myiopagis flavivertex idwwqe,Ramphocelus bresilius ztxztb,Atlapetes pallidinucha qgisgu,Diglossa sittoides yohjrf,Ramphastos ambiguus puycgr,Carpornis cucullata ajqxje,Euphonia minuta gekojq,Myrmeciza immaculata khvgmu,Saltator grossus mzajou,Thamnophilus ambiguus firddw,Cacicus chrysonotus lasdez,Formicivora serrana vyxqzu,Nystalus chacuru holhva,Scytalopus canus qqrfhs,Colonia colonus qdnved,Hemitriccus minor rstljd,Momotus momota xqglsv,Ortalis garrula rwcqbe,Psophia crepitans sxjvwy,Arremonops conirostris wbchba,Diglossa gloriosissima mppolc,Hypocnemis flavescens vzfiug,Micrastur buckleyi iwabik,Patagioenas speciosa zmtiwk,Synallaxis gujanensis xpmcwb,Zimmerius acer bsewbt,Contopus sordidulus utkccx,Gymnopithys salvini vyrebo,Neochelidon tibialis wvuzyc,Topaza pyra zyqlmf,Asio stygius wcoqnj,Crypturellus variegatus yxenbt,Helicolestes hamatus xbceth,Mionectes striaticollis nbbgtz,Passer domesticus zvpffx,Schiffornis turdina xzvjkj,Thalurania glaucopis uvsyop,Automolus paraensis zxtbno,Crax alberti apnhqx,Hylophilus thoracicus rfdfsw,Nothoprocta pentlandii lyphae,Picumnus olivaceus ocmdfc,Vireolanius eximius iywuqr,Campylopterus falcatus ikydur,Dendrocolaptes picumnus ckjsvo,Hapalopsittaca fuertesi ntezht,Myrmotherula multostriata ubmxxg,Phyllomyias burmeisteri zwxknm,Ramphodon naevius boyvjk,Thraupis ornata izpyuo,Anthus bogotensis vdcjck,Clibanornis dendrocolaptoides bzmmfv,Elaenia parvirostris zvpndq,Gubernetes yetapa lpnbmp,Myiarchus cephalotes xcuxll,Phrygilus alaudinus poztdo,Ramphotrigon ruficauda uqwtge,Sternula superciliaris erxieb,Vireolanius leucotis wfgnlp,Cantorchilus guarayanus bgjflj,Cranioleuca curtata zmpixx,Falco deiroleucus mjhzoq,Ilicura militaris bvpcer,Neopelma pallescens sjbjba,Pogonotriccus lanyoni qeptbc,Scytalopus stilesi wvihlf,Thamnophilus sticturus yqzpum,Amaurospiza moesta ghwdea,Chloroceryle aenea dssjbj,Cyanerpes cyaneus xxdrwt,Gymnopithys rufigula oskqfx,Iodopleura isabellae ketasp,Malacoptila mystacalis dvpcru,Orthogonys chloricterus ynqtrh,Porphyrio martinicus fmrhxa,Tangara cyanocephala wwgoay,Aegolius harrisii nuejcm,Chaetura cinereiventris vvablg,Diglossa lafresnayii cfyywg,Hylocharis sapphirina lzikru,Myiopsitta monachus mxeleb,Oxyruncus cristatus byvvse,Poecilotriccus sylvia ayyyjw,Spizaetus isidori jmmkrv,Thripadectes flammulatus kojbjz,Amazona kawalli yvjvsl,Chelidoptera tenebrosa nnxjdw,Epinecrophylla leucophthalma uezkjg,Lophotriccus eulophotes ilczce,Ortalis guttata qzskxq,Pseudoseisura unirufa ptbygx,Synallaxis whitneyi nasscm,Xenopipo atronitens idiquu,Attila bolivianus xplaij,Coragyps atratus xbilim,Grallaria squamigera vllfph,Machaeropterus pyrocephalus qgszhv,Odontophorus gujanensis qalmsn,Phleocryptes melanops yofmmq,Ramphastos sulfuratus bvrjbq,Thalasseus maximus ftkvzh,Myrmornis torquata ttjcxm,ACC,TOT,RECALL
Henicorhina leucophrys ffvgyk,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,0.9375
Dysithamnus mentalis hwqenp,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1.0
Chiroxiphia caudata bmiqmk,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1.0
Turdus rufiventris xunfjj,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0.8333333333333334
Henicorhina negreti ejtezg,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1.0
Myioborus ornatus ipvlig,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1.0
Grallaricula nana qhsdfp,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1.0
Phyllomyias griseiceps ygqyoz,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1.0
Zimmerius chrysops skjryu,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1.0
Epinecrophylla ornata eecwua,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0.75
